Name,Unnamed: 0_2010,Unnamed: 0_2014,Unnamed: 0_2018,Unnamed: 0_2022,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Positioning.1_2010,Positioning.1_2014,Positioning.1_2018,Positioning.1_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,Unnamed: 24_2010,Unnamed: 24_2014,Unnamed: 24_2018,Unnamed: 24_2022,Rank,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
argentina  conmebol,0,0,0,0,1369,1369,1369,1369,4-2-2-2,4-1-3-2,4-3-3 Defend,4-3-3 Holding,83,82,82,83,83,85,87,86,81,82,80,81,78,79,80,81,Fast,Slow,Balanced,Slow,Little,Lots,Normal,Little,Short,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Normal,Safe,Lots,Lots,Normal,Little,Free form,Free form,Free form,Organised,Contain,Press,Press,Contain,Deep,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,18,18,9,9,30,23,23,23,27.18,27.09,28.0,27.82,26.33,27.13,27.04,27.35,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
australia  afc,0,0,0,0,1415,1415,1415,1415,4-2-3-1 Narrow,4-2-3-1 Wide,4-2-3-1 Wide,4-2-3-1 Narrow,75,69,73,70,71,72,69,75,71,70,73,69,68,65,71,70,Fast,Balanced,Balanced,Slow,Little,Normal,Little,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Lots,Normal,Little,Risky,Safe,Normal,Safe,Lots,Little,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Double,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,30,23,23,23,30.36,25.91,25.45,27.27,27.5,24.91,26.26,27.48,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
austria  uefa,0,0,0,0,1322,1322,1322,1322,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-2-3-1 Narrow,73,73,77,77,71,72,80,79,67,74,77,78,70,71,75,77,Fast,Balanced,Balanced,Slow,Little,Lots,Little,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Double,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,4,4,30,23,23,23,23.45,25.0,25.91,26.55,23.97,24.61,24.74,26.61,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
belgium  uefa,0,0,0,0,1325,1325,1325,1325,4-3-3 Flat,4-1-4-1,3-4-2-1,3-4-2-1,76,81,84,83,73,75,86,83,75,81,83,82,74,79,85,80,Balanced,Slow,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Little,Normal,Little,Organised,Organised,Free form,Organised,Double,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,7,8,30,23,23,23,22.55,23.82,26.91,29.18,24.33,24.78,26.22,28.87,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bolivia  conmebol,0,0,0,0,0,111451,111451,0,0,4-1-2-1-2 Wide,5-4-1 Flat,0,0,63,67,0,0,68,75,0,0,57,66,0,0,63,66,0,0,Slow,Balanced,0,0,Normal,Normal,0,0,Short,Mixed,0,0,Organised,Organised,0,0,Little,Lots,0,0,Safe,Normal,0,0,Normal,Lots,0,0,Organised,Organised,0,0,Press,Press,0,0,Medium,Medium,0,0,Cover,Cover,0,0,20,10,0,0,2,1,0,0,23,23,0,0.0,25.27,29.82,0.0,0.0,25.13,27.26,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil  conmebol,0,0,0,0,1370,1370,1370,1370,4-1-2-1-2 Wide,4-3-3 False 9,4-3-3 Holding,4-3-3 Holding,84,83,85,80,83,83,86,80,81,81,83,80,82,83,85,80,Fast,Balanced,Balanced,Slow,Little,Lots,Lots,Little,Short,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Little,Little,Risky,Normal,Normal,Safe,Lots,Normal,Lots,Little,Free form,Organised,Organised,Organised,Press,Press,Double,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,20,20,10,10,30,23,23,23,28.09,25.91,26.73,26.45,26.1,24.83,27.09,25.87,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulgaria  uefa,0,0,0,0,1327,1327,1327,0,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,0,73,68,70,0,70,66,70,0,70,69,69,0,68,67,67,0,Fast,Balanced,Balanced,0,Little,Normal,Normal,0,Mixed,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Normal,Normal,0,Risky,Normal,Normal,0,Normal,Little,Normal,0,Organised,Organised,Organised,0,Double,Contain,Press,0,Medium,Medium,Medium,0,Cover,Cover,Cover,0,20,20,10,0,9,10,5,0,30,23,23,0,28.64,26.27,27.27,0.0,27.63,26.52,27.09,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cameroon  caf,0,0,0,0,1395,1395,1395,0,4-4-1-1 Attack,4-1-4-1,4-4-2 Flat,0,76,75,72,0,73,75,77,0,73,73,74,0,74,76,69,0,Fast,Balanced,Balanced,0,Little,Normal,Normal,0,Long,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Lots,Normal,0,Risky,Normal,Normal,0,Lots,Normal,Normal,0,Organised,Organised,Organised,0,Press,Press,Press,0,High,Medium,Medium,0,Cover,Cover,Cover,0,20,20,10,0,13,12,5,0,30,23,23,0,26.0,25.55,25.45,0.0,26.0,24.65,24.78,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canada  concacaf,0,0,0,0,0,0,111455,111455,0,0,4-1-4-1,4-3-3 Defend,0,0,69,73,0,0,73,75,0,0,72,73,0,0,66,70,0,0,Fast,Slow,0,0,Normal,Little,0,0,Long,Short,0,0,Organised,Organised,0,0,Lots,Little,0,0,Normal,Safe,0,0,Lots,Little,0,0,Organised,Organised,0,0,Contain,Contain,0,0,Deep,Deep,0,0,Cover,Cover,0,0,10,10,0,0,2,2,0,0,23,23,0.0,0.0,24.91,27.18,0.0,0.0,26.26,26.26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chile  conmebol,0,0,0,0,0,111459,111459,0,0,3-1-4-2,4-3-3 Defend,0,0,76,77,0,0,77,77,0,0,75,80,0,0,70,75,0,0,Balanced,Balanced,0,0,Normal,Normal,0,0,Mixed,Mixed,0,0,Organised,Organised,0,0,Normal,Normal,0,0,Normal,Normal,0,0,Normal,Normal,0,0,Organised,Organised,0,0,Press,Press,0,0,Medium,High,0,0,Cover,Cover,0,0,20,10,0,0,10,7,0,0,23,23,0,0.0,25.55,28.09,0.0,0.0,25.78,26.26,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
