Rank,Team,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Spain,1880.76,1875.37,5.39,WW,16,67,31,17,19,108,75,33,110
2,Argentina,1872.43,1870.32,2.11,WW,18,88,47,17,24,152,101,51,158
3,France,1862.71,1870.92,-8.21,DW,16,73,39,14,20,136,85,51,131
4,England,1824.3,1820.44,3.86,WW,16,74,32,22,20,104,68,36,118
5,Portugal,1778,1779.55,-1.55,DW,8,35,17,6,12,61,41,20,57
6,Netherlands,1759.96,1754.17,5.79,WW,11,55,30,14,11,96,52,44,104
7,Brazil,1758.85,1761.6,-2.75,LW,22,114,76,19,19,237,108,129,247
8,Belgium,1740.01,1739.54,0.47,WD,14,51,21,10,20,69,74,-5,73
9,Italy,1717.15,1710.06,7.09,WW,18,83,45,21,17,128,77,51,156
10,Germany,1713.3,1704.27,9.03,WW,20,112,68,21,23,232,130,102,225
11,Croatia,1710.15,1714.2,-4.05,WD,6,30,13,8,9,43,33,10,47
12,Morocco,1710.11,1706.27,3.84,WW,6,23,5,7,11,20,27,-7,22
13,Colombia,1695.72,1692.1,3.62,DW,6,22,9,3,10,32,30,2,30
14,Mexico,1682.52,1688.38,-5.86,DL,17,60,17,15,28,62,101,-39,66
15,Uruguay,1677.57,1673.65,3.92,WW,14,59,25,13,21,89,76,13,88
16,USA,1673.49,1670.04,3.45,WD,11,37,9,8,20,40,66,-26,35
17,Switzerland,1653.32,1648.3,5.02,DW,12,41,14,8,19,55,73,-18,50
18,Senegal,1650.61,1645.23,5.38,WW,3,12,5,3,4,16,17,-1,18
19,Japan,1645.34,1640.47,4.87,WD,7,25,7,6,12,25,33,-8,27
20,Denmark,1641.02,1627.64,13.38,WW,6,23,9,6,8,31,29,2,33
21,Iran,1618.28,1622.61,-4.33,WL,6,18,3,4,11,13,31,-18,13
22,Korea Republic,1593.92,1593.19,0.73,WL,11,38,7,10,21,39,78,-39,31
23,Ecuador,1589.72,1588.04,1.68,DD,4,13,5,2,6,14,14,0,17
24,Austria,1586.98,1601.86,-14.88,LW,7,29,12,4,13,43,47,-4,40
25,Australia,1584.02,1583.49,0.53,LW,6,20,4,4,12,17,37,-20,16
26,türkiye,1570.18,1555.72,14.46,WW,2,10,5,1,4,20,17,3,16
27,Ukraine,1555.36,1543.06,12.3,WW,1,5,2,1,2,5,7,-2,7
28,Canada,1554.63,1558.04,-3.41,DL,2,6,0,0,6,2,12,-10,0
29,Norway,1532.14,1526.23,5.91,DW,3,8,2,3,3,7,8,-1,9
30,Russia,1530.95,1521.74,9.21,WW,11,45,19,10,16,77,54,23,67
31,Panama,1528.21,1529.71,-1.5,DW,1,3,0,0,3,2,11,-9,0
32,Egypt,1525.31,1519.18,6.13,WW,3,7,0,2,5,5,12,-7,2
33,Poland,1523.84,1517.3,6.54,WW,9,38,17,6,15,49,50,-1,57
34,Wales,1518.81,1529.09,-10.28,LL,2,8,1,4,3,5,10,-5,7
35,Algeria,1510.26,1500.74,9.52,WW,4,13,3,3,7,13,19,-6,12
36,Serbia,1507.84,1520.9,-13.06,WL,13,49,18,9,22,71,71,0,63
37,Hungary,1504.92,1492.18,12.74,DW,9,32,15,3,14,87,57,30,48
38,Scotland,1504.2,1485.08,19.12,WW,8,23,4,7,12,25,41,-16,19
39,Paraguay,1498.15,1501.01,-2.86,LD,8,27,7,10,10,30,38,-8,31
40,Sweden,1496.99,1524.62,-27.63,LL,12,51,19,13,19,80,73,7,70
41,Nigeria,1495.46,1483.86,11.6,WW,6,21,6,3,12,23,30,-7,21
42,Côte d'Ivoire,1491.78,1483.9,7.88,WW,3,9,2,4,3,11,16,-5,10
43,Tunisia,1490.8,1483.02,7.78,WW,6,18,3,5,10,14,26,-12,14
44,Czechia,1484.68,1500.29,-15.61,LD,9,33,12,5,16,47,49,-2,41
45,Costa Rica,1483.74,1481.13,2.61,WD,6,21,6,5,10,22,39,-17,23
46,Slovakia,1483.35,1491.87,-8.52,WL,1,4,1,1,2,5,7,-2,4
47,Romania,1480.13,1462.85,17.28,WW,7,21,8,5,8,30,32,-2,29
48,Greece,1472.99,1494.72,-21.73,LL,3,10,2,2,6,5,20,-15,8
