rank,rank.1,points,team,apr,mar,feb,jan,dec,year,nov,oct,sep,aug,jul,jun,may
1,,802.0,France,1.0,1,1,1.0,1,2002,,,,,,,
2,,784.0,Brazil,2.0,3,3,3.0,3,2002,,,,,,,
3,,784.0,Argentina,3.0,2,2,2.0,2,2002,,,,,,,
4,,728.0,Colombia,4.0,5,5,5.0,5,2002,,,,,,,
5,,726.0,Portugal,5.0,6,4,4.0,4,2002,,,,,,,
6,,717.0,Italy,6.0,4,6,6.0,6,2002,,,,,,,
7,,716.0,Mexico,7.0,8,9,9.0,9,2002,,,,,,,
8,,713.0,Spain,8.0,7,7,7.0,7,2002,,,,,,,
9,,703.0,Netherlands,9.0,9,8,8.0,8,2002,,,,,,,
10,,702.0,Yugoslavia,10.0,11,11,11.0,11,2002,,,,,,,
11,,695.0,Germany,12.0,10,12,12.0,12,2002,,,,,,,
12,,694.0,England,11.0,12,10,10.0,10,2002,,,,,,,
13,,690.0,USA,13.0,13,13,24.0,24,2002,,,,,,,
14,,675.0,Romania,16.0,17,16,15.0,15,2002,,,,,,,
15,,674.0,Republic of Ireland,19.0,18,19,18.0,17,2002,,,,,,,
16,,674.0,Czech Republic,14.0,14,15,14.0,14,2002,,,,,,,
17,,672.0,Cameroon,18.0,19,18,37.0,38,2002,,,,,,,
18,,671.0,Paraguay,15.0,15,14,13.0,13,2002,,,,,,,
19,,665.0,Sweden,17.0,16,17,16.0,16,2002,,,,,,,
20,,657.0,Denmark,20.0,20,20,17.0,18,2002,,,,,,,
21,,655.0,Croatia,23.0,23,21,19.0,19,2002,,,,,,,
22,,654.0,Turkey,25.0,25,25,23.0,23,2002,,,,,,,
23,,653.0,Belgium,22.0,21,22,20.0,20,2002,,,,,,,
24,,652.0,Uruguay,21.0,22,24,22.0,22,2002,,,,,,,
25,,649.0,Slovenia,28.0,28,28,27.0,25,2002,,,,,,,
26,,647.0,Honduras,26.0,26,27,25.0,27,2002,,,,,,,
27,,644.0,Nigeria,29.0,32,31,40.0,40,2002,,,,,,,
28,,644.0,Russia,24.0,24,23,21.0,21,2002,,,,,,,
29,,643.0,Costa Rica,27.0,27,26,30.0,30,2002,,,,,,,
30,,635.0,IR Iran,32.0,31,32,29.0,29,2002,,,,,,,
31,,635.0,Tunisia,30.0,29,29,28.0,28,2002,,,,,,,
32,,634.0,Japan,33.0,38,38,35.0,34,2002,,,,,,,
33,,631.0,Norway,31.0,30,30,26.0,26,2002,,,,,,,
34,,627.0,Saudi Arabia,34.0,35,34,32.0,31,2002,,,,,,,
35,,624.0,Trinidad and Tobago,35.0,34,35,34.0,32,2002,,,,,,,
36,,624.0,Ecuador,36.0,37,37,38.0,37,2002,,,,,,,
37,,623.0,South Africa,37.0,36,33,33.0,35,2002,,,,,,,
38,,615.0,Poland,38.0,33,36,31.0,33,2002,,,,,,,
39,,612.0,Morocco,39.0,39,39,36.0,36,2002,,,,,,,
40,,603.0,Korea Republic,41.0,41,41,42.0,42,2002,,,,,,,
41,,600.0,Finland,42.0,47,47,46.0,46,2002,,,,,,,
42,,599.0,Senegal,43.0,45,45,68.0,65,2002,,,,,,,
43,,598.0,Egypt,40.0,40,40,41.0,41,2002,,,,,,,
44,,593.0,Ukraine,45.0,42,48,45.0,45,2002,,,,,,,
45,,590.0,Chile,44.0,43,42,39.0,39,2002,,,,,,,
46,,580.0,Côte d'Ivoire,46.0,48,46,44.0,44,2002,,,,,,,
47,,578.0,Peru,47.0,44,44,43.0,43,2002,,,,,,,
48,,575.0,Australia,48.0,49,49,48.0,48,2002,,,,,,,
49,,574.0,Slovakia,49.0,46,43,47.0,47,2002,,,,,,,
50,,566.0,China PR,51.0,53,53,55.0,54,2002,,,,,,,
1,,827.0,Brazil,1.0,1,1,1.0,1,2006,,,,,,,
2,,772.0,Czech Republic,2.0,2,2,2.0,2,2006,,,,,,,
3,,768.0,Netherlands,3.0,3,3,3.0,3,2006,,,,,,,
4,,758.0,Mexico,6.0,7,6,7.0,5,2006,,,,,,,
