home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Argentina,France,3,3,88966,"Lusail Iconic Stadium, Lusail",Final,18-12-2022,(4) 3–3 (2),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Morocco,2,1,44137,"Khalifa International Stadium, Doha",Third-place match,17-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Morocco,2,0,68294,"Al Bayt Stadium, Al Khor",Semi-finals,14-12-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Croatia,3,0,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,13-12-2022,3–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Morocco,Portugal,1,0,44198,"Al Thumama Stadium, ath-Thumāma",Quarter-finals,10-12-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,France,1,2,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,10-12-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Brazil,1,1,43893,"Education City Stadium, Doha",Quarter-finals,09-12-2022,(4) 1–1 (2),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,Argentina,2,2,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,09-12-2022,(3) 2–2 (4),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Morocco,Spain,0,0,44667,"Education City Stadium, Doha",Round of 16,06-12-2022,(3) 0–0 (0),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Portugal,Switzerland,6,1,83720,"Lusail Iconic Stadium, Lusail",Round of 16,06-12-2022,6–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Japan,Croatia,1,1,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,05-12-2022,(1) 1–1 (3),Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Brazil,Korea Republic,4,1,43847,"Stadium 974, Doha",Round of 16,05-12-2022,4–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Poland,3,1,40989,"Al Thumama Stadium, ath-Thumāma",Round of 16,04-12-2022,3–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,Senegal,3,0,65985,"Al Bayt Stadium, Al Khor",Round of 16,04-12-2022,3–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,United States,3,1,44846,"Khalifa International Stadium, Doha",Round of 16,03-12-2022,3–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Australia,2,1,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Round of 16,03-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Portugal,2,1,44097,"Education City Stadium, Doha",Group stage,02-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Ghana,Uruguay,0,2,43443,"Al Janoub Stadium, Al Wakrah",Group stage,02-12-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Cameroon,Brazil,1,0,85986,"Lusail Iconic Stadium, Lusail",Group stage,02-12-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Serbia,Switzerland,2,3,41378,"Stadium 974, Doha",Group stage,02-12-2022,2–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Canada,Morocco,1,2,43102,"Al Thumama Stadium, ath-Thumāma",Group stage,01-12-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Belgium,0,0,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,01-12-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Germany,2,4,67054,"Al Bayt Stadium, Al Khor",Group stage,01-12-2022,2–4,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Japan,Spain,2,1,44851,"Khalifa International Stadium, Doha",Group stage,01-12-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Australia,Denmark,1,0,41232,"Al Janoub Stadium, Al Wakrah",Group stage,30-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Tunisia,France,1,0,43627,"Education City Stadium, Doha",Group stage,30-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Mexico,1,2,84985,"Lusail Iconic Stadium, Lusail",Group stage,30-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Poland,Argentina,0,2,44089,"Stadium 974, Doha",Group stage,30-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Ecuador,Senegal,1,2,44569,"Khalifa International Stadium, Doha",Group stage,29-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,Qatar,2,0,66784,"Al Bayt Stadium, Al Khor",Group stage,29-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
IR Iran,United States,0,1,42127,"Al Thumama Stadium, ath-Thumāma",Group stage,29-11-2022,0–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Wales,England,0,3,44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,29-11-2022,0–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Cameroon,Serbia,3,3,39789,"Al Janoub Stadium, Al Wakrah",Group stage,28-11-2022,3–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Korea Republic,Ghana,2,3,43983,"Education City Stadium, Doha",Group stage,28-11-2022,2–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Brazil,Switzerland,1,0,43649,"Stadium 974, Doha",Group stage,28-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Portugal,Uruguay,2,0,88668,"Lusail Iconic Stadium, Lusail",Group stage,28-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Japan,Costa Rica,0,1,41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,27-11-2022,0–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Belgium,Morocco,0,2,43738,"Al Thumama Stadium, ath-Thumāma",Group stage,27-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Croatia,Canada,4,1,44374,"Khalifa International Stadium, Doha",Group stage,27-11-2022,4–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Spain,Germany,1,1,68895,"Al Bayt Stadium, Al Khor",Group stage,27-11-2022,1–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Tunisia,Australia,0,1,41823,"Al Janoub Stadium, Al Wakrah",Group stage,26-11-2022,0–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Poland,Saudi Arabia,2,0,44259,"Education City Stadium, Doha",Group stage,26-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Denmark,2,1,42860,"Stadium 974, Doha",Group stage,26-11-2022,2–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Mexico,2,0,88966,"Lusail Iconic Stadium, Lusail",Group stage,26-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Wales,IR Iran,0,2,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,25-11-2022,0–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Qatar,Senegal,1,3,41797,"Al Thumama Stadium, ath-Thumāma",Group stage,25-11-2022,1–3,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Netherlands,Ecuador,1,1,44833,"Khalifa International Stadium, Doha",Group stage,25-11-2022,1–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,United States,0,0,68463,"Al Bayt Stadium, Al Khor",Group stage,25-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Switzerland,Cameroon,1,0,39089,"Al Janoub Stadium, Al Wakrah",Group stage,24-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Uruguay,Korea Republic,0,0,41663,"Education City Stadium, Doha",Group stage,24-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Portugal,Ghana,3,2,42662,"Stadium 974, Doha",Group stage,24-11-2022,3–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Brazil,Serbia,2,0,88103,"Lusail Iconic Stadium, Lusail",Group stage,24-11-2022,2–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Morocco,Croatia,0,0,59407,"Al Bayt Stadium, Al Khor",Group stage,23-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Germany,Japan,1,2,42608,"Khalifa International Stadium, Doha",Group stage,23-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Spain,Costa Rica,7,0,40013,"Al Thumama Stadium, ath-Thumāma",Group stage,23-11-2022,7–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Belgium,Canada,1,0,40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,23-11-2022,1–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Argentina,Saudi Arabia,1,2,88012,"Lusail Iconic Stadium, Lusail",Group stage,22-11-2022,1–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Denmark,Tunisia,0,0,42925,"Education City Stadium, Doha",Group stage,22-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
Mexico,Poland,0,0,39369,"Stadium 974, Doha",Group stage,22-11-2022,0–0,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
France,Australia,4,1,40875,"Al Janoub Stadium, Al Wakrah",Group stage,22-11-2022,4–1,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
England,IR Iran,6,2,45334,"Khalifa International Stadium, Doha",Group stage,21-11-2022,6–2,Qatar,2022,,,,,,,,,,,,,,,,,,,,,
