Team Name,Rank,Points
Spain,1,1880.76
Argentina,2,1872.43
France,3,1862.71
England,4,1824.3
Portugal,5,1778
Netherlands,6,1759.96
Brazil,7,1758.85
Belgium,8,1740.01
Italy,9,1717.15
Germany,10,1713.3
Croatia,11,1710.15
Morocco,12,1710.11
Colombia,13,1695.72
Mexico,14,1682.52
Uruguay,15,1677.57
USA,16,1673.49
Switzerland,17,1653.32
Senegal,18,1650.61
Japan,19,1645.34
Denmark,20,1641.02
IR Iran,21,1618.28
Korea Republic,22,1593.92
Ecuador,23,1589.72
Austria,24,1586.98
Australia,25,1584.02
Türkiye,26,1570.18
Ukraine,27,1555.36
Canada,28,1554.63
Norway,29,1532.14
Russia,30,1530.95
Panama,31,1528.21
Egypt,32,1525.31
Poland,33,1523.84
Wales,34,1518.81
Algeria,35,1510.26
Serbia,36,1507.84
Hungary,37,1504.92
Scotland,38,1504.2
Paraguay,39,1498.15
Sweden,40,1496.99
Nigeria,41,1495.46
Côte d'Ivoire,42,1491.78
Tunisia,43,1490.8
Czechia,44,1484.68
Costa Rica,45,1483.74
Slovakia,46,1483.35
Romania,47,1480.13
Greece,48,1472.99
