year,Team,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
2010,spain,1362,4-4-2 Flat,85,83,83,82,Balanced,Little,Short,Free form,Normal,Risky,Normal,Press,Medium,Cover,20,19,30,26.45,25.17
2010,brazil,1370,4-1-2-1-2 Wide,84,83,81,82,Fast,Little,Short,Free form,Normal,Risky,Lots,Press,High,Cover,20,20,30,28.09,26.1
2010,england,1318,4-2-3-1 Narrow,83,81,84,82,Fast,Little,Long,Organised,Lots,Normal,Lots,Double,Medium,Cover,20,17,30,27.55,26.93
2010,france,1335,4-2-3-1 Narrow,83,82,82,82,Fast,Little,Mixed,Organised,Normal,Risky,Little,Press,Medium,Cover,20,19,30,26.55,26.17
2010,italy,1343,4-4-2 Flat,83,83,81,80,Fast,Little,Short,Organised,Normal,Normal,Normal,Contain,Deep,Offside trap,20,19,30,28.91,27.17
2010,argentina,1369,4-2-2-2,83,83,81,78,Fast,Little,Short,Free form,Normal,Risky,Lots,Contain,Deep,Cover,20,18,30,27.18,26.33
2010,germany,1337,4-2-3-1 Narrow,82,81,79,79,Fast,Little,Mixed,Organised,Normal,Normal,Lots,Press,Medium,Cover,20,19,30,25.55,24.8
2010,portugal,1354,4-3-3 Flat,82,77,81,79,Fast,Little,Short,Free form,Lots,Risky,Lots,Press,Medium,Offside trap,20,16,30,27.82,27.1
2010,netherlands,105035,4-2-3-1 Narrow,80,81,80,76,Balanced,Little,Mixed,Organised,Lots,Risky,Normal,Press,Medium,Cover,20,17,25,26.82,26.4
2010,russia,1357,4-5-1 Attack,80,79,77,76,Fast,Little,Mixed,Free form,Normal,Risky,Lots,Press,Medium,Cover,20,13,29,27.09,26.17
2010,croatia,1328,4-1-2-1-2 Wide,78,77,74,73,Fast,Little,Mixed,Organised,Little,Risky,Normal,Press,Medium,Offside trap,20,13,30,26.82,26.37
2010,czechia,1330,4-1-2-1-2 Wide,78,73,74,74,Balanced,Little,Long,Organised,Normal,Normal,Lots,Double,High,Cover,20,15,30,26.91,27.73
2010,türkiye,1365,4-4-2 Flat,78,77,77,74,Fast,Little,Mixed,Organised,Lots,Risky,Lots,Double,Medium,Cover,20,14,30,26.91,25.47
2010,uruguay,1377,03-05-2002,78,76,70,74,Fast,Little,Mixed,Free form,Lots,Normal,Lots,Press,Deep,Cover,20,11,30,24.45,25.73
2010,sweden,1363,4-2-3-1 Narrow,77,78,73,74,Balanced,Little,Mixed,Organised,Lots,Risky,Lots,Double,Medium,Cover,20,11,30,26.27,25.67
2010,mexico,1386,4-2-3-1 Narrow,77,73,74,74,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Press,Medium,Cover,20,15,30,27.09,26.2
2010,belgium,1325,4-3-3 Flat,76,73,75,74,Balanced,Little,Long,Organised,Normal,Normal,Normal,Double,Medium,Cover,20,10,30,22.55,24.33
2010,greece,1338,3-4-2-1,76,76,75,74,Balanced,Little,Mixed,Organised,Lots,Safe,Little,Contain,Deep,Offside trap,20,13,27,27,26.63
