Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,Germany  UEFA,1337,4-2-3-1 Wide,85,84,85,85,Slow,Normal,Mixed,Organised,Normal,Safe,Little,Free form,Press,Medium,Cover,10,10,23,26.55,24.96,
,Spain  UEFA,1362,4-3-3 Attack,85,84,86,85,Slow,Normal,Short,Organised,Little,Safe,Little,Free form,Press,High,Cover,10,9,23,26.36,25.91,
,Brazil  CONMEBOL,1370,4-3-3 Holding,85,86,83,85,Balanced,Lots,Mixed,Organised,Little,Normal,Lots,Organised,Double,High,Cover,10,10,23,26.73,27.09,
,Belgium  UEFA,1325,3-4-2-1,84,86,83,85,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,High,Cover,10,7,23,26.91,26.22,
,France  UEFA,1335,4-2-3-1 Wide,84,82,85,82,Balanced,Normal,Short,Organised,Normal,Safe,Normal,Organised,Press,Medium,Cover,10,9,23,24.36,24.57,
,Italy  UEFA,1343,3-1-4-2,83,85,81,85,Fast,Normal,Long,Organised,Lots,Normal,Lots,Organised,Contain,Deep,Cover,10,9,23,26.55,25.65,
,England  UEFA,1318,5-2-1-2,82,84,81,81,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,8,23,25.0,24.65,
,Portugal  UEFA,1354,4-1-3-2,82,85,82,80,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Cover,10,8,23,27.09,26.91,
,Argentina  CONMEBOL,1369,4-3-3 Defend,82,87,80,80,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,High,Cover,10,9,23,28.0,27.04,
,Uruguay  CONMEBOL,1377,4-4-2 Flat,81,86,76,79,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Double,Medium,Cover,10,7,23,26.27,26.61,
,Netherlands  UEFA,105035,5-3-2,80,79,80,80,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Cover,10,8,23,23.82,24.65,
,Colombia  CONMEBOL,111109,4-2-2-2,79,81,77,78,Fast,Normal,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Cover,10,7,23,26.64,26.48,
,Russia  UEFA,1357,5-3-2,78,80,78,76,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,6,23,28.09,27.35,
,Switzerland  UEFA,1364,4-2-3-1 Narrow,78,74,77,78,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,5,23,26.64,25.7,
,Mexico  CONCACAF,1386,4-4-1-1 Midfield,78,79,79,75,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Free form,Press,High,Cover,10,7,23,26.18,26.91,
,Côte d'Ivoire  CAF,111112,4-3-3 Defend,77,76,78,77,Fast,Normal,Long,Organised,Normal,Risky,Lots,Organised,Double,Medium,Cover,10,6,23,24.73,25.35,
,Austria  UEFA,1322,4-2-3-1 Wide,77,80,77,75,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Double,Medium,Cover,10,4,23,25.91,24.74,
,Denmark  UEFA,1331,4-3-3 Attack,77,76,79,75,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Cover,10,5,23,26.45,25.74,
,Poland  UEFA,1353,5-2-1-2,77,82,76,75,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Contain,Medium,Cover,10,5,23,27.0,26.52,
,Chile  CONMEBOL,111459,4-3-3 Defend,77,77,80,75,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,High,Cover,10,7,23,28.09,26.26,
,Greece  UEFA,1338,4-2-3-1 Wide,76,78,74,77,Fast,Normal,Long,Organised,Lots,Risky,Lots,Organised,Contain,Deep,Cover,10,6,23,28.09,26.04,
,Türkiye  UEFA,1365,4-2-3-1 Wide,76,78,77,74,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Press,Medium,Cover,10,6,23,24.91,24.65,
,Czechia  UEFA,1330,4-4-2 Flat,75,75,74,73,Fast,Normal,Long,Organised,Normal,Risky,Normal,Organised,Double,High,Cover,10,5,23,25.09,24.83,
,Republic of Ireland  UEFA,1355,4-2-3-1 Wide,75,75,74,75,Balanced,Normal,Mixed,Organised,Normal,Safe,Lots,Organised,Press,High,Cover,10,5,23,27.64,26.52,
,Slovenia  UEFA,1361,4-2-3-1 Wide,75,72,76,72,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,High,Cover,10,5,23,27.09,25.96,
,Sweden  UEFA,1363,4-4-2 Flat,75,76,75,75,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,5,23,27.91,26.43,
,Paraguay  CONMEBOL,1375,4-2-3-1 Wide,75,75,75,72,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,4,23,27.73,28.09,
,Norway  UEFA,1352,4-4-2 Flat,74,74,74,73,Fast,Normal,Long,Organised,Normal,Risky,Normal,Organised,Press,Medium,Cover,10,4,23,24.73,24.57,
,Scotland  UEFA,1359,4-2-3-1 Wide,74,75,74,74,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,4,23,26.18,25.83,
,Wales  UEFA,1367,3-4-2-1,74,82,71,77,Fast,Normal,Long,Organised,Normal,Normal,Lots,Organised,Press,Medium,Cover,10,4,23,27.82,25.78,
,United States  CONCACAF,1387,4-3-3 Holding,74,72,73,74,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Double,Medium,Cover,10,6,23,22.91,23.87,
