Year,Champion,Runner Up,Third Place
2022,Argentina,France,Croatia
2018,France,Croatia,Belgium
2014,Germany,Argentina,Netherlands
2010,Spain,Netherlands,Germany
2006,Italy,France,Germany
2002,Brazil,Germany,Turkey
1998,France,Brazil,Croatia
1994,Brazil,Italy,Sweden
1990,West Germany,Argentina,Italy
1986,Argentina,West Germany,France
1982,Italy,West Germany,Poland
1978,Argentina,Netherlands,Brazil
1974,West Germany,Netherlands,Poland
1970,Brazil,Italy,West Germany
1966,England,West Germany,Portugal
1962,Brazil,Czechoslovakia,Chile
1958,Brazil,Sweden,France
1954,West Germany,Hungary,Austria
1950,Uruguay,Brazil,Sweden
1938,Italy,Hungary,Brazil
1934,Italy,Czechoslovakia,Germany
1930,Uruguay,Argentina,United States
