nation,titles,runners-up,third_or_semi-finalist_(since_2025),fourth,ref(s)
Spain,"8 (2009, 2011, 2014, 2015, 2016, 2017, 2018, 2022)",1 (2006),1 (2025),1 (2000),[8][10][13]
England,"5 (2008, 2019, 2021, 2023, 2025)","2 (2005, 2012)",—,—,[22][15]
Brazil,"4 (2000, 2005, 2006, 2012)","6 (2000, 2011, 2017, 2019, 2021, 2023)","4 (2010, 2013, 2022, 2025)",1 (2020),[8][10][13][24][15]
Italy,"2 (2007, 2010)",—,—,—,[24][20]
Germany,"2 (2013, 2020)",—,—,—,
Argentina,—,"4 (2007, 2009, 2014, 2015)",1 (2018),—,[20]
Mexico,—,1 (2020),"4 (2000, 2012, 2017, 2019)","5 (2006, 2008, 2009, 2014, 2016)",[8][9][13][22]
Japan,—,1 (2016),"3 (2007, 2008, 2015)","3 (2011, 2018, 2023)",
Saudi Arabia,—,1 (2022),—,"3 (2005, 2019, 2021)",[15]
United Arab Emirates,—,1 (2018),—,1 (2017),
Ecuador,—,1 (2008),—,—,[22]
DR Congo,—,1 (2010),—,—,[24]
Morocco,—,1 (2013),—,—,
France,—,1 (2025),—,—,
Egypt,—,—,"4 (2006, 2020, 2021, 2023)","2 (2012, 2022)",[8]
South Korea,—,—,1 (2009),1 (2010),[9][24]
Costa Rica,—,—,1 (2005),—,[15]
Qatar,—,—,1 (2011),—,[10]
New Zealand,—,—,1 (2014),—,[48]
Colombia,—,—,1 (2016),—,
China,—,—,—,"2 (2013, 2015)",[49][50]
Tunisia,—,—,—,1 (2007),[20]
