team,part,pld,w,d,l,gf,ga,gd,pts,rank_x,gold,silver,bronze,total,rank_y,player,goals,matches,goals_per_game
argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3.0,3.0,0.0,6.0,4.0,Lionel Messi,13.0,26.0,0.5
brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,2.0,2.0,9.0,2.0,Ronaldo,15.0,19.0,0.79
croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,1.0,2.0,3.0,0.0,0,0.0,0.0,0.0
czech republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0
england,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
france,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2.0,2.0,2.0,6.0,4.0,Just Fontaine,13.0,6.0,2.17
germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,4.0,4.0,12.0,1.0,Miroslav Klose,16.0,24.0,0.67
germany (1934–1938),2.0,6.0,3.0,1.0,2.0,14.0,13.0,1.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
germany (1994–present),8.0,44.0,29.0,6.0,9.0,87.0,40.0,46.0,93.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0
italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.0,2.0,1.0,7.0,0.0,0,0.0,0.0,0.0
netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,3.0,1.0,4.0,0.0,0,0.0,0.0,0.0
spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,1.0,2.0,3.0,0.0,0,0.0,0.0,0.0
totals (13 entries),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Totals (13 entries),22.0,22.0,14.0,58.0,0.0,0,0.0,0.0,0.0
uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0
west germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,Gerd Müller,14.0,13.0,1.08
west germany (1950–1990),10.0,62.0,36.0,14.0,12.0,131.0,77.0,54.0,122.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
