team,part,pld,w,d,l,gf,ga,gd,pts,rank,date,venue,total_goals,score,team.1
Algeria,4.0,13.0,3.0,3.0,7.0,13.0,19.0,−6,12.0,,,,,,
Angola,1.0,3.0,0.0,2.0,1.0,1.0,2.0,−1,2.0,,,,,,
Argentina,18.0,88.0,47.0,17.0,24.0,152.0,101.0,+51,158.0,,,,,,
Australia,6.0,20.0,4.0,4.0,12.0,17.0,37.0,−20,16.0,,,,,,
Austria,7.0,29.0,12.0,4.0,13.0,43.0,47.0,−4,40.0,1.0,26 June 1954,"Stade Olympique de la Pontaise, Lausanne",12.0,7–5,Switzerland
Belgium,14.0,51.0,21.0,10.0,20.0,69.0,74.0,−5,73.0,,,,,,
Bolivia,3.0,6.0,0.0,1.0,5.0,1.0,20.0,−19,1.0,,,,,,
Bosnia and Herzegovina,1.0,3.0,1.0,0.0,2.0,4.0,4.0,0,3.0,,,,,,
Brazil,22.0,114.0,76.0,19.0,19.0,237.0,108.0,+129,247.0,2.0,5 June 1938,"Stade de la Meinau, Strasbourg",11.0,6–5,Poland
Bulgaria,7.0,26.0,3.0,8.0,15.0,22.0,53.0,−31,17.0,,,,,,
Cameroon,8.0,26.0,5.0,8.0,13.0,22.0,47.0,−25,23.0,,,,,,
Canada,2.0,6.0,0.0,0.0,6.0,2.0,12.0,−10,0.0,,,,,,
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
Chile,9.0,33.0,11.0,7.0,15.0,40.0,49.0,−9,40.0,,,,,,
China,1.0,3.0,0.0,0.0,3.0,0.0,9.0,−9,0.0,,,,,,
Colombia,6.0,22.0,9.0,3.0,10.0,32.0,30.0,+2,30.0,,,,,,
Costa Rica,6.0,21.0,6.0,5.0,10.0,22.0,39.0,−17,23.0,,,,,,
Croatia,6.0,30.0,13.0,8.0,9.0,43.0,33.0,+10,47.0,,,,,,
Cuba,1.0,3.0,1.0,1.0,1.0,5.0,12.0,−7,4.0,,,,,,
Czech Republic,9.0,33.0,12.0,5.0,16.0,47.0,49.0,−2,41.0,,,,,,
Czech Republic (2006–present),,,,,,,,,,,,,,,
Czechoslovakia (1934–1990),,,,,,,,,,,,,,,
DR Congo,1.0,3.0,0.0,0.0,3.0,0.0,14.0,−14,0.0,,,,,,
Denmark,6.0,23.0,9.0,6.0,8.0,31.0,29.0,+2,33.0,,,,,,
East Germany,1.0,6.0,2.0,2.0,2.0,5.0,5.0,0,8.0,,,,,,
Ecuador,4.0,13.0,5.0,2.0,6.0,14.0,14.0,0,17.0,,,,,,
Egypt,3.0,7.0,0.0,2.0,5.0,5.0,12.0,−7,2.0,,,,,,
El Salvador,2.0,6.0,0.0,0.0,6.0,1.0,22.0,−21,0.0,,,,,,
England,16.0,74.0,32.0,22.0,20.0,104.0,68.0,+36,118.0,,,,,,
FR Yugoslavia (1998),,,,,,,,,,,,,,,
France,16.0,73.0,39.0,14.0,20.0,136.0,85.0,+51,131.0,5.0,8 June 1958,"Idrottsparken, Norrköping",10.0,7–3,Paraguay
Germany,20.0,112.0,68.0,21.0,23.0,232.0,130.0,+102,225.0,,,,,,
Germany (1934–1938),,,,,,,,,,,,,,,
Germany (1994–present),,,,,,,,,,,,,,,
Ghana,4.0,15.0,5.0,3.0,7.0,18.0,23.0,−5,18.0,,,,,,
Greece,3.0,10.0,2.0,2.0,6.0,5.0,20.0,−15,8.0,,,,,,
Haiti,1.0,3.0,0.0,0.0,3.0,2.0,14.0,−12,0.0,,,,,,
Honduras,3.0,9.0,0.0,3.0,6.0,3.0,14.0,−11,3.0,,,,,,
Hungary,9.0,32.0,15.0,3.0,14.0,87.0,57.0,+30,48.0,2.0,20 June 1954,"St. Jakob Stadium, Basel",11.0,8–3,West Germany
Hungary,9.0,32.0,15.0,3.0,14.0,87.0,57.0,+30,48.0,2.0,15 June 1982,"Nuevo Estadio, Elche",11.0,10–1,El Salvador
Iceland,1.0,3.0,0.0,1.0,2.0,2.0,5.0,−3,1.0,,,,,,
Indonesia,1.0,1.0,0.0,0.0,1.0,0.0,6.0,−6,0.0,,,,,,
Iran,6.0,18.0,3.0,4.0,11.0,13.0,31.0,−18,13.0,,,,,,
Iraq,1.0,3.0,0.0,0.0,3.0,1.0,4.0,−3,0.0,,,,,,
Israel,1.0,3.0,0.0,2.0,1.0,1.0,3.0,−2,2.0,,,,,,
