"('year',_'year')","('hosts',_'hosts')","('venues/_cities',_'venues/_cities')","('total_attendance_†',_'total_attendance_†')","('matches',_'matches')","('average_attendance',_'average_attendance')","('highest_attendances_‡',_'number')","('highest_attendances_‡',_'venue')","('highest_attendances_‡',_'game(s)')"
1930,Uruguay,3/1,434500.0,18,24139.0,79867,"Estadio Centenario, Montevideo","Uruguay 6–1 Yugoslavia, semi-final"
1934,Italy,8/8,358000.0,17,21059.0,55000,"Stadio Nazionale PNF, Rome","Italy 2–1 Czechoslovakia, final"
1938,France,10/9,376000.0,18,20889.0,58455,"Olympique de Colombes, Paris","France 1–3 Italy, quarter-final"
1950,Brazil,6/6,1043500.0,22,47432.0,"173,850","Maracanã Stadium, Rio de Janeiro","Brazil 1–2 Uruguay, deciding match"
1954,Switzerland,6/6,889500.0,26,34212.0,62500,"Wankdorf Stadium, Bern","West Germany 3–2 Hungary, final"
1958,Sweden,12/12,919580.0,35,26274.0,50928,"Ullevi Stadium, Gothenburg","Brazil 2–0 Soviet Union, group stage"
1962,Chile,4/4,899074.0,32,28096.0,76594,"Estadio Nacional, Santiago","Brazil 4–2 Chile, semi-final"
1966,England,8/7,1635000.0,32,51094.0,98270,"Wembley Stadium, London","England 2–0 France, group stage"
1970,Mexico,5/5,1603975.0,32,50124.0,108192,"Estadio Azteca, Mexico City","Mexico 1–0 Belgium, group stage"
1974,West Germany,9/9,1768152.0,38,50124.0,83168,"Olympiastadion, Munich","West Germany 1–0 Chile, group stage"
1978,Argentina,6/5,1546151.0,38,40688.0,71712,"Estadio Monumental, Buenos Aires","Italy 1–0 Argentina, group stage"
1982,Spain,17/14,2109723.0,52,40572.0,95500,"Camp Nou, Barcelona","Argentina 0–1 Belgium, Opening match"
1986,Mexico,12/11,2393331.0,52,46026.0,114600,"Estadio Azteca, Mexico City","Two matches, including the final, all at Estadio Azteca"
1990,Italy,12/12,2516348.0,52,48391.0,74765,"San Siro, Milan","West Germany 4–1 Yugoslavia, group stage"
1994,United States,9/9,3587538.0,52,68991.0,94194,"Rose Bowl, Pasadena, California","Brazil 0–0 (3–2p) Italy, final"
1998,France,10/10,2785100.0,64,43517.0,80000,"Stade de France, Saint-Denis","Four matches, including the final, all at Stade de France"
2002,South Korea  Japan,20/20,2705197.0,64,42269.0,69029,"International Stadium, Yokohama, Japan","Brazil 2–0 Germany, final"
2006,Germany,12/12,3359439.0,64,52491.0,72000,"Olympiastadion, Berlin","Five matches, all at Olympiastadion"
2010,South Africa,10/9,3178856.0,64,49670.0,84490,"Soccer City, Johannesburg","Two matches, including the final, all at Soccer City"
2014,Brazil,12/12,3429873.0,64,53592.0,74738,"Maracanã Stadium, Rio de Janeiro","Germany 1–0 Argentina, final"
2018,Russia,12/11,3031768.0,64,47371.0,78011,"Luzhniki Stadium, Moscow","Seven matches, including the final, all at Luzhniki Stadium"
2022,Qatar,8/5,3404252.0,64,53191.0,88966,"Lusail Stadium, Lusail","Three matches, including the final, all at Lusail Stadium"
2026,Canada  Mexico  United States,16/16,,104,,nan,nan,nan
2030,Morocco  Portugal  Spain,20/20,,104,,nan,nan,nan
2034,Saudi Arabia,15/5,,104,,nan,nan,nan
Overall,Overall,Overall,43936730.0,964,45577.0,"173,850","Maracanã Stadium, Rio de Janeiro (1950)",nan
