vtefifa_world_cup,vtefifa_world_cup.1
Fédération internationale de football association (FIFA),Fédération internationale de football association (FIFA)
Tournaments,Uruguay 1930 Italy 1934 France 1938 Brazil 1950 Switzerland 1954 Sweden 1958 Chile 1962 England 1966 Mexico 1970 West Germany 1974 Argentina 1978 Spain 1982 Mexico 1986 Italy 1990 United States 1994 France 1998 South Korea / Japan 2002 Germany 2006 South Africa 2010 Brazil 2014 Russia 2018 Qatar 2022 Canada / Mexico / United States 2026 Morocco / Portugal / Spain 20301 Saudi Arabia 2034
Qualification,19302 1934 1938 1950 1954 1958 1962 1966 1970 1974 1978 1982 1986 1990 1994 1998 2002 2006 2010 2014 2018 2022 2026
Finals,1930 1934 1938 19503 1954 1958 1962 1966 1970 1974 1978 1982 1986 1990 1994 1998 2002 2006 2010 2014 2018 2022 2026
Squads,1930 1934 1938 1950 1954 1958 1962 1966 1970 1974 1978 1982 1986 1990 1994 1998 2002 2006 2010 2014 2018 2022
Final draw,1998 2002 2006 2010 2014 2018 2022
Broadcasters,1998 2002 2006 2010 2014 2018 2022 2026
Bids,2014 2018 2022 2026 2030 2034
Officials,2010 2014 2018 2022
Team appearances,AFC CAF CONCACAF CONMEBOL OFC UEFA
Other records,Overall records and statistics Player records winners top appearances red cards Goalscorer records top finals hat-tricks own goals Manager records winners all appearances Match records opening penalty shoot-outs
Miscellaneous,Awards Balls Controversies Economics Fan Festival Films History Mascots Music Notable matches nicknamed qualifying Referees Stadiums finals Trophy Video games World Champions Cup
"1 Argentina, Paraguay and Uruguay will host the inaugural games 2 There was no qualification for the 1930 World Cup as places were given by invitation only. 3 No final held; the article is about the decisive match of the final group stage.  Category  Commons","1 Argentina, Paraguay and Uruguay will host the inaugural games 2 There was no qualification for the 1930 World Cup as places were given by invitation only. 3 No final held; the article is about the decisive match of the final group stage.  Category  Commons"
