year,host,champions,winning_coach,top_scorer(s),best_player_award,source
1930,Uruguay,Uruguay,Alberto Suppici,Guillermo Stábile (8),Not awarded,
1934,Italy,Italy,Vittorio Pozzo,Oldřich Nejedlý (5),Not awarded,
1938,France,Italy,Vittorio Pozzo,Leônidas (7),Not awarded,
1950,Brazil,Uruguay,Juan López,Ademir (9),Not awarded,
1954,Switzerland,West Germany,Sepp Herberger,Sándor Kocsis (11),Not awarded,
1958,Sweden,Brazil,Vicente Feola,Just Fontaine (13),Not awarded,
1962,Chile,Brazil,Aymoré Moreira,Six players (4),Not awarded,
1966,England,England,Alf Ramsey,Eusébio (9),Not awarded,
1970,Mexico,Brazil,Mário Zagallo,Gerd Müller (10),Not awarded,
1974,West Germany,West Germany,Helmut Schön,Grzegorz Lato (7),Not awarded,
1978,Argentina,Argentina,César Luis Menotti,Mario Kempes (6),Mario Kempes,
1982,Spain,Italy,Enzo Bearzot,Paolo Rossi (6),Paolo Rossi,
1986,Mexico,Argentina,Carlos Bilardo,Gary Lineker (6),Diego Maradona,
1990,Italy,West Germany,Franz Beckenbauer,Salvatore Schillaci (6),Salvatore Schillaci,
1994,United States,Brazil,Carlos Alberto Parreira,Hristo Stoichkov (6)  Oleg Salenko (6),Romário,
1998,France,France,Aimé Jacquet,Davor Šuker (6),Ronaldo,
2002,South Korea  Japan,Brazil,Luiz Felipe Scolari,Ronaldo (8),Oliver Kahn,
2006,Germany,Italy,Marcello Lippi,Miroslav Klose (5),Zinedine Zidane,
2010,South Africa,Spain,Vicente del Bosque,Four players (5),Diego Forlán,
2014,Brazil,Germany,Joachim Löw,James Rodríguez (6),Lionel Messi,
2018,Russia,France,Didier Deschamps,Harry Kane (6),Luka Modrić,
2022,Qatar,Argentina,Lionel Scaloni,Kylian Mbappé (8),Lionel Messi,
