Rank,Team,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,yc_2010,yc_2014,yc_2018,yc_2022,rc_2010,rc_2014,rc_2018,rc_2022,Points_2010,Points_2014,Points_2018,Points_2022
1,Spain,1880.76,1875.37,5.39,WW,16,67,31,17,19,108,75,33,110,1362,1362,1362,1362,4-4-2 Flat,4-3-3 Attack,4-3-3 Attack,4-3-3 Holding,85,84,85,84,83,86,84,83,83,84,86,85,82,82,85,83,Balanced,Balanced,Slow,Slow,Little,Normal,Normal,Little,Short,Mixed,Short,Short,Free form,Organised,Organised,Organised,Normal,Normal,Little,Little,Risky,Normal,Safe,Safe,Normal,Normal,Little,Little,Press,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,20,9,9,30,23,23,23,26.45,26.09,26.36,25.55,25.17,24.74,25.91,26.48,8,3,2,2,4,9,4,2,8,3,2,2
2,Argentina,1872.43,1870.32,2.11,WW,18,88,47,17,24,152,101,51,158,1369,1369,1369,1369,4-2-2-2,4-1-3-2,4-3-3 Defend,4-3-3 Holding,83,82,82,83,83,85,87,86,81,82,80,81,78,79,80,81,Fast,Slow,Balanced,Slow,Little,Lots,Normal,Little,Short,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Normal,Safe,Lots,Lots,Normal,Little,Contain,Press,Press,Contain,Deep,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,18,18,9,9,30,23,23,23,27.18,27.09,28,27.82,26.33,27.13,27.04,27.35,7,8,11,17,7,6,1,1,7,8,11,17
3,France,1862.71,1870.92,-8.21,DW,16,73,39,14,20,136,85,51,131,1335,1335,1335,1335,4-2-3-1 Narrow,4-3-3 Holding,4-2-3-1 Wide,03-05-2002,83,81,84,85,82,82,82,85,82,80,85,86,82,80,82,83,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Short,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Safe,Safe,Little,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,18,9,10,30,23,23,23,26.55,25.09,24.36,27.36,26.17,24.91,24.57,25.96,6,5,12,8,1,0,0,0,9,5,12,8
4,England,1824.3,1820.44,3.86,WW,16,74,32,22,20,104,68,36,118,1318,1318,1318,1318,4-2-3-1 Narrow,4-4-2 Flat,5-2-1-2,4-3-3 Attack,83,80,82,83,81,85,84,85,84,79,81,83,82,78,81,82,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,17,17,8,8,30,23,23,23,27.55,22.91,25,26.09,26.93,23.91,24.65,24.43,6,4,8,1,3,3,7,4,6,4,8,1
5,Portugal,1778,1779.55,-1.55,DW,8,35,17,6,12,61,41,20,57,1354,1354,1354,1354,4-3-3 Flat,4-3-3 Holding,4-1-3-2,4-3-3 Holding,82,80,82,84,77,82,85,85,81,79,82,83,79,80,80,85,Fast,Balanced,Balanced,Slow,Little,Normal,Lots,Little,Short,Short,Mixed,Short,Free form,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Safe,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,16,16,8,8,30,23,23,23,27.82,27.45,27.09,29.09,27.1,25.48,26.91,27.35,8,2,7,6,1,1,0,0,11,5,7,6
6,Netherlands,1759.96,1754.17,5.79,WW,11,55,30,14,11,96,52,44,104,105035,105035,105035,105035,4-2-3-1 Narrow,05-03-2002,05-03-2002,5-2-1-2,80,79,80,82,81,84,79,82,80,76,80,81,76,75,80,83,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Normal,Safe,Normal,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,17,17,8,8,25,23,23,23,26.82,25.18,23.82,26,26.4,25.13,24.65,25.7,22,11,11,11,1,0,0,1,25,11,12,14
7,Brazil,1758.85,1761.6,-2.75,LW,22,114,76,19,19,237,108,129,247,1370,1370,1370,1370,4-1-2-1-2 Wide,4-3-3 False 9,4-3-3 Holding,4-3-3 Holding,84,83,85,80,83,83,86,80,81,81,83,80,82,83,85,80,Fast,Balanced,Balanced,Slow,Little,Lots,Lots,Little,Short,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Little,Little,Risky,Normal,Normal,Safe,Lots,Normal,Lots,Little,Press,Press,Double,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,20,20,10,10,30,23,23,23,28.09,25.91,26.73,26.45,26.1,24.83,27.09,25.87,7,14,7,6,2,0,0,0,13,14,7,6
8,Belgium,1740.01,1739.54,0.47,WD,14,51,21,10,20,69,74,-5,73,1325,1325,1325,1325,4-3-3 Flat,4-1-4-1,3-4-2-1,3-4-2-1,76,81,84,83,73,75,86,83,75,81,83,82,74,79,85,80,Balanced,Slow,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Little,Normal,Little,Double,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,7,8,30,23,23,23,22.55,23.82,26.91,29.18,24.33,24.78,26.22,28.87,7,7,11,5,1,1,0,0,10,10,11,5
9,Italy,1717.15,1710.06,7.09,WW,18,83,45,21,17,128,77,51,156,1343,1343,1343,1343,4-4-2 Flat,3-1-4-2,3-1-4-2,4-3-3 Flat,83,80,83,83,83,79,85,84,81,78,81,84,80,78,85,82,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Short,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Lots,Lots,Little,Normal,Normal,Normal,Safe,Normal,Normal,Lots,Little,Contain,Press,Contain,Contain,Deep,Deep,Deep,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,19,19,9,9,30,23,23,23,28.91,25.82,26.55,27.18,27.17,25.65,25.65,27.13,5,3,3,3,0,1,1,1,5,6,6,6
10,Germany,1713.3,1704.27,9.03,WW,20,112,68,21,23,232,130,102,225,1337,1337,1337,1337,4-2-3-1 Narrow,4-3-3 Attack,4-2-3-1 Wide,4-2-3-1 Wide,82,83,85,85,81,82,84,83,79,84,85,85,79,78,85,81,Fast,Fast,Slow,Slow,Little,Little,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Safe,Safe,Lots,Normal,Little,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,19,10,10,30,23,23,23,25.55,23.91,26.55,25.64,24.8,23.91,24.96,25.78,11,6,2,3,1,0,1,0,14,6,5,3
11,Croatia,1710.15,1714.2,-4.05,WD,6,30,13,8,9,43,33,10,47,1328,1362,1363,1356,4-1-2-1-2 Wide,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,78,75,77,77,77,76,79,79,74,74,77,78,73,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Little,Normal,Normal,Little,Risky,Normal,Normal,Safe,Normal,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,13,12,6,6,30,23,23,23,26.82,25.91,26.55,26.45,26.37,25.17,26.04,26.26,4,4,15,8,1,1,0,0,7,7,15,8
12,Morocco,1710.11,1706.27,3.84,WW,6,23,5,7,11,20,27,-7,22,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,8,8,8,8,0,0,0,1,8,8,8,11
